date,symbol,rank,final_score,confidence,edge_score,edge_signals,momentum_score,premover_score,entry_price,price_7d_later,return_pct,would_have_won
2024-03-07,AMZN,1,7.0,6.4,5.0,"BREAKOUT_STRUCTURE,VOLATILITY_EXPANSION",5.3,4.7,176.75,174.43,-1.31,False
2024-03-07,AMAT,2,6.4,4.3,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",7.5,5.6,212.54,200.68,-5.58,False
2024-03-07,ON,3,5.3,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",5.5,5.2,82.98,73.87,-10.98,False
2024-03-08,SNAP,1,5.3,3.6,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",6.9,4.9,12.39,11.04,-10.9,False
2024-03-08,ABNB,2,6.1,4.1,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.9,5.7,164.97,161.74,-1.96,False
2024-03-08,AMZN,3,7.2,6.7,2.0,VOLATILITY_EXPANSION,5.5,4.6,175.34,175.89,0.31,True
2024-03-11,NEM,1,6.3,3.7,8.0,"MOMENTUM_EXPANSION,BREAKOUT_STRUCTURE,RS_LEADER",6.6,7.6,35.25,34.29,-2.72,False
2024-03-11,META,2,7.1,6.8,2.0,VOLATILITY_EXPANSION,5.1,3.8,483.83,505.71,4.52,True
2024-03-11,AMAT,3,7.4,6.6,0.0,,6.1,4.9,201.37,205.07,1.84,True
2024-03-12,ABNB,1,6.1,4.1,5.0,"BREAKOUT_STRUCTURE,RS_LEADER",6.8,5.5,166.66,168.18,0.91,True
2024-03-12,AMZN,2,7.2,6.6,2.0,VOLATILITY_EXPANSION,5.3,4.7,175.38,178.19,1.6,True
2024-03-12,META,3,6.7,4.9,2.0,VOLATILITY_EXPANSION,6.6,4.4,499.64,507.75,1.62,True
2024-03-13,FCX,1,6.6,3.9,7.0,"MOMENTUM_EXPANSION,RS_LEADER,VOLATILITY_EXPANSION",7.4,7.2,43.41,45.09,3.87,True
2024-03-13,ABNB,2,7.4,4.3,2.0,VOLATILITY_EXPANSION,7.6,7.9,164.71,167.87,1.92,True
2024-03-13,PYPL,3,6.5,4.0,4.0,"RS_LEADER,VOLATILITY_EXPANSION",6.5,6.9,62.44,64.77,3.73,True
